id,street,status,price,bedrooms,bathrooms,sq_ft,lat,lng
0,545 2nd Pl,pending,299727,4,1,1608,33.36944420834164,-112.11971469843907
1,320 Blake St,active,123081,5,3,3125,33.476759305937215,-112.11512153436901
2,740 2nd Pl,pending,172219,5,2,1208,33.468811357715914,-112.22879647183072
3,533 8th Rd,pending,277683,5,2,1431,33.58858496101036,-112.08779982484374
4,557 4th Cir,sold,284196,4,2,3173,33.51415333566995,-112.28351948295969
5,466 8th Dv,sold,115253,5,2,2890,33.45057358654926,-112.09392248468063
6,195 2nd Cir,pending,269910,5,2,2804,33.52960566586986,-111.8783296742273
7,408 3rd Trl,pending,224414,3,1,1804,33.443788196697795,-112.02941859772629
8,352 Walnut Vis,pending,176905,4,1,3369,33.48377238169285,-112.20770405529346
9,366 Mission Trl,active,116829,5,3,3307,33.41034888697366,-112.06336333386758
10,139 Turk Blvd,sold,255304,3,3,3509,33.47119802768573,-112.17328842999721
11,463 Walnut St,pending,201903,2,2,2098,33.40731153478695,-112.32950843209106
12,429 Euclid Vis,active,201432,4,3,2721,33.459486949913206,-112.35058758429564
13,494 8th Cir,active,237154,2,1,2814,33.48482514956555,-111.96987061630286
14,565 5th Blvd,active,188333,2,1,1030,33.59124015653342,-112.01494486926886
15,394 5th Way,active,158236,2,3,3065,33.43759943971985,-112.04353489624279
16,45 California St,active,289702,5,3,3718,33.38616655054577,-112.04009058870642
17,509 9th Ave,sold,296497,5,2,3063,33.49427813691749,-112.09066670042108
18,103 Turk Wl,active,153987,3,3,2725,33.41880266697439,-112.25349122238964
19,389 2nd Dv,sold,181554,2,2,2279,33.45170447351804,-112.20395000768927
20,142 Bush Vis,active,197597,3,3,1270,33.41578332484294,-112.01808635567563
21,425 9th Ave,active,264962,2,2,1847,33.469116723763584,-112.2205271589707
22,648 Mission Way,sold,130570,4,2,2755,33.37087309874188,-112.18205134839822
23,551 California Trl,pending,136695,3,1,2359,33.47342671624346,-111.96533280027586
24,249 Post Cir,active,208519,5,1,1518,33.371028700587715,-112.12292018900993
25,419 Euclid Pl,pending,262785,4,3,2061,33.564810114083066,-112.14535780343489
26,654 6th Pl,pending,278803,5,2,2324,33.46515650231261,-112.32660010859779
27,727 6th Rd,pending,198164,2,1,2140,33.46125924334236,-111.99227138135457
28,195 7th Pl,active,128686,4,2,1255,33.54762207323221,-112.12790392160345
29,162 Pine Blvd,pending,274519,2,1,3989,33.53585597110464,-112.1606078101019
30,137 9th Cir,active,298793,3,3,2153,33.386973080647095,-112.26144872033505
31,799 Indiana Way,active,214294,2,3,3556,33.49057748212687,-112.052212989071
32,242 Texas Dv,sold,282527,2,1,2498,33.443881609334085,-112.33632003266658
33,493 9th Dv,pending,100438,3,3,1126,33.57287288962355,-112.27670963137153
34,752 Pine Ave,sold,202311,3,1,1532,33.370888802344076,-112.03911067248673
35,563 Mission Rd,active,197753,4,2,2143,33.373430091792024,-111.94487936532975
36,773 8th Dv,active,105572,3,1,3496,33.50791746639353,-112.21179192179463
37,742 6th Dv,pending,201973,5,2,3403,33.42508751484598,-112.25230958527669
38,529 Mission Rd,pending,255457,3,2,1398,33.45704541447019,-112.1345816532899
39,476 California Blvd,sold,292950,5,2,1986,33.42909423330648,-111.97002484376497
40,236 Mission Vis,sold,287081,4,1,3154,33.383826613450005,-111.96767425929926
41,641 Pine Dv,sold,164764,4,2,2667,33.418355310959406,-111.98363148643092
42,598 8th Rd,pending,151319,5,2,1509,33.46983455485657,-112.06623785177796
43,32 5th Trl,sold,293280,4,1,3382,33.57153722397905,-112.18975292851377
44,138 Bush Way,sold,141253,4,3,2954,33.589705820675356,-112.03007440345048
45,68 Pine Dv,sold,120846,4,3,3957,33.38482922163033,-112.08350912393826
46,714 4th Vis,pending,279179,3,1,2809,33.38250802442216,-112.31240592024425
47,535 6th Ave,pending,220266,4,2,3590,33.49618468924842,-112.24219285282602
48,468 2nd Way,sold,290705,2,3,1927,33.36850739648847,-112.30519382289685
49,420 9th Ave,pending,219721,2,1,2581,33.460294666414825,-112.09003902196262
50,749 Turk Vis,sold,253931,2,3,1324,33.551792724992715,-111.89739598235138
51,715 Texas St,active,246227,3,3,2910,33.571251754681036,-112.20256580126618
52,405 6th Vis,pending,214894,2,3,3039,33.529413643227,-112.32112508013925
53,175 8th Pl,pending,259600,2,3,3632,33.547676958239826,-111.99841228497971
54,748 Mission Blvd,active,298927,3,3,3570,33.57782589231393,-112.31087664738854
55,187 Wall Wl,active,121049,3,1,3920,33.52101593025562,-111.88239682648249
56,309 1st Dv,active,285658,5,1,2796,33.382576035009755,-112.02032910058062
57,453 Post Blvd,pending,158419,2,3,2452,33.41929362665776,-111.92253931997156
58,343 Texas Trl,active,126048,5,3,3346,33.52238502873215,-112.10904720310987
59,552 Sutter Ave,active,165286,5,3,1351,33.52421017463468,-112.13510895927844
60,346 Geary Vis,sold,209676,2,1,1436,33.47754227209244,-112.24213571936954
61,302 Geary Dv,active,154622,3,3,3387,33.56620529768426,-111.96361112493373
62,331 Euclid Cir,sold,211172,5,3,2835,33.54703013867616,-111.97814282013127
63,365 Indiana Way,active,104488,5,2,1061,33.462273254270244,-112.18983640645904
64,538 Turk Way,active,222301,4,2,1793,33.46263600562073,-112.068454723946
65,633 Blake Trl,sold,133379,4,3,2557,33.38317418578481,-112.3098516872091
66,16 7th Ave,sold,109985,4,3,3276,33.501804783223434,-112.12312349538185
67,674 Sutter St,pending,106264,4,3,1157,33.54753896423956,-112.0831043460943
68,223 5th St,active,275961,2,1,1374,33.40146743638561,-112.32454080585491
69,79 1st Way,sold,202974,3,1,3996,33.528741864332524,-111.92793289867113
